Total Elapsed Time: 2.3520000000000003 seconds
Token: Frequency
----------------
000: 62500
the: 33405
a: 27567
of: 21065
and: 17214
001: 14864
to: 11412
in: 10111
az: 6766
is: 5621
1: 4874
for: 4683
on: 4091
002: 4069
that: 3531
2: 3484
as: 3464
es: 3432
de: 3409
by: 3291
hogy: 3268
with: 2920
an: 2885
or: 2553
nem: 2546
3: 2525
4: 2257
be: 2161
5: 2006
are: 1933
from: 1825
003: 1808
this: 1807
0s: 1766
6: 1730
at: 1719
10: 1710
9: 1546
8: 1527
7: 1498
11: 1447
0fn: 1435
13: 1412
it: 1381
496: 1297
12: 1290
which: 1235
not: 1217
meg: 1198
his: 1190
el: 1181
was: 1177
magyar: 1161
14: 1147
6265: 1101
their: 1101
7pgs: 1101
15: 1097
have: 1081
will: 1078
0: 1077
examines: 1077
analysis: 1065
79yr: 1062
has: 1047
its: 1031
en: 1023
005: 1014
new: 975
egy: 968
80yr: 967
la: 954
004: 949
16: 929
17: 904
all: 886
1996: 864
y: 855
20: 848
us: 841
law: 819
5370: 809
18: 808
6pgs: 807
other: 806
81yr: 801
19: 761
he: 758
ha: 757
can: 752
may: 749
who: 748
they: 742
if: 717
m: 711
most: 699
21: 696
e: 685
ez: 684
22: 683
5pgs: 680
4475: 680
more: 674
political: 674
26: 672
szerint: 672
these: 672
how: 669
also: 654
78yr: 652
10pgs: 647
8950: 647
25: 638
s: 631
100: 629
csak: 628
azt: 628
24: 622
23: 615
textplain: 612
27jul96: 611
paper: 609
information: 607
5s: 606
illinois: 602
but: 595
mar: 592
government: 588
6s: 587
one: 587
discusses: 586
30: 584
two: 583
american: 581
social: 580
health: 571
no: 569
7160: 569
8pgs: 569
los: 565
state: 560
business: 554
1995: 552
history: 551
between: 550
sem: 549
system: 544
been: 542
mint: 539
world: 537
afn: 532
volt: 530
27: 525
29: 522
economic: 522
rights: 521
van: 520
work: 515
about: 514
public: 512
case: 509
28: 508
kell: 508
court: 500
use: 499
education: 494
31: 493
i: 492
n: 489
study: 488
were: 485
would: 481
such: 480
ki: 477
studies: 473
any: 468
media: 463
4s: 461
7s: 458
than: 458
you: 458
said: 454
role: 449
33: 446
during: 446
time: 441
por: 441
we: 440
through: 439
into: 437
50: 435
care: 432
development: 432
over: 426
first: 423
war: 421
vagy: 420
states: 420
there: 417
order: 413
32: 411
years: 411
person: 411
policy: 411
mert: 410
006: 410
del: 409
international: 409
some: 405
federal: 404
part: 404
only: 403
when: 401
review: 399
her: 397
must: 392
people: 391
including: 391
life: 390
had: 387
reported: 386
35: 382
program: 376
40: 370
both: 370
9pgs: 369
8055: 369
what: 365
under: 364
34: 359
after: 358
82yr: 358
each: 354
ugy: 351
38: 344
trade: 343
science: 342
services: 342
united: 341
general: 340
robot: 339
literature: 339
last: 339
90yr: 339
36: 334
img: 334
president: 334
observes: 334
our: 333
7fn: 332
39: 330
travel: 330
power: 330
ezt: 329
las: 329
against: 328
number: 327
black: 327
3s: 326
foreign: 326
copyright: 325
37: 324
83yr: 324
comparison: 320
book: 318
national: 318
84yr: 318
various: 316
8s: 315
up: 314
market: 314
north: 313
pedig: 309
research: 309
1754: 309
legal: 309
security: 308
45: 307
6fn: 307
she: 307
8fn: 306
report: 305
texas: 305
akkor: 304
many: 303
works: 303
because: 303
home: 303
alignbottom: 302
out: 301
9845: 301
11pgs: 301
philosophy: 298
being: 298
41: 296
used: 295
uj: 294
medical: 293
children: 293
term: 292
should: 292
88yr: 292
data: 291
three: 291
human: 290
4pgs: 286
3580: 286
lehet: 285
se: 283
eacutes: 283
discussion: 283
ypf: 281
problems: 281
007: 280
745: 280
management: 280
benefits: 280
those: 280
south: 278
9s: 277
your: 277
year: 277
43: 276
interest: 276
47: 274
kormany: 274
act: 274
effects: 274
support: 272
minden: 271
nemzet: 271
91yr: 271
issues: 270
tax: 270
que: 270
using: 270
olyan: 270
67: 269
property: 269
title: 269
5fn: 269
programs: 269
control: 269
42: 267
do: 267
mi: 267
current: 266
russian: 265
aki: 265
46: 263
personal: 263
high: 263
fel: 262
48: 261
school: 261
con: 261
death: 260
10fn: 260
includes: 258
10s: 257
art: 257
ket: 257
politikai: 257
examination: 257
60: 256
44: 256
service: 255
society: 255
analyzes: 255
industry: 255
86: 252
9fn: 251
subject: 250
critical: 250
them: 247
94yr: 247
crime: 243
party: 243
music: 242
communications: 241
56: 239
well: 239
women: 239
july: 239
theme: 239
right: 238
para: 238
55: 237
al: 237
amely: 237
asia: 237
arra: 237
local: 237
based: 236
within: 236
major: 236
o: 235
cold: 235
make: 235
volna: 235
child: 235
70: 234
10740: 234
historical: 234
press: 234
12pgs: 234
4fn: 233
hanem: 233
65: 232
58: 231
52: 231
95: 231
phone: 231
marketing: 230
workers: 230
specific: 229
horn: 229
so: 228
page: 228
free: 228
yeltsin: 228
september: 227
economics: 227
click: 226
different: 226
igy: 226
inc: 225
1994: 225
nincs: 224
un: 223
nagy: 222
while: 222
even: 221
before: 221
12fn: 221
majd: 220
nemzeti: 220
lesz: 220
june: 220
57: 219
position: 219
theory: 219
made: 218
relationship: 218
93yr: 218
best: 217
next: 217
15pgs: 217
