Total Elapsed Time: 2.261 seconds
Token: Frequency
----------------
: 1
democracy: 1
edsdb: 1
more: 1
0: 1077
00: 22
000: 62500
0000: 3
000000: 1
000003: 1
000974: 2
000nemetorszagdeutsche: 1
001: 14864
00110936320megrendelheto: 1
00198: 1
001am: 4
002: 4069
0025mm: 1
003: 1808
0031: 1
004: 949
005: 1014
0050mm: 1
0058: 1
006: 410
007: 280
008: 201
009: 153
01: 21
010: 113
0100: 2
010002: 1
0100to: 1
01016573600adria: 1
011: 212
0116: 1
012: 82
01202: 1
01203: 1
01223: 4
012397: 1
012817: 1
012838: 1
012nbsp: 1
013: 52
014: 48
015: 50
01509: 2
016: 99
017: 33
018: 35
019: 23
01g: 1
01mm: 1
01szazalekban: 1
02: 21
020: 16
0203: 1
020414: 1
021: 25
022: 56
023: 21
0235: 1
0239: 1
024: 16
0244: 3
025: 16
026: 12
027: 35
028: 8
029: 4
02g: 1
03: 12
030: 8
031: 11
032: 12
033: 24
033095: 8
034: 13
035: 7
035428: 1
036: 6
037: 5
037647: 1
038: 11
039: 2
03mm: 1
04: 20
040: 6
0400: 1
0400to: 1
041: 3
042: 5
042095: 1
042656: 1
043: 14
044: 10
045: 3
046: 1
0466: 1
047: 2
0476: 1
048: 2
049: 15
04g: 1
05: 16
050: 4
0500: 17
051: 3
0510024: 1
0510029: 1
0510035: 1
0510041: 1
0510043: 1
0510084: 1
0511000: 1
0511069: 1
0515: 1
052: 3
053: 2
054: 15
056: 2
057: 1
058: 1
059: 4
05at: 1
05g: 1
05nbsp: 2
06: 14
060: 11
06000900: 1
060495: 1
060746: 1
061: 1
062: 2
0620423364: 4
0620423364internet: 1
063: 3
063551: 2
064: 4
06498: 1
065: 6
065022: 1
065257: 1
065712: 1
06573: 1
066: 3
068: 6
069: 3
07: 14
070: 3
0700: 1
070nemetorszag: 1
071: 8
072: 3
072258: 1
0729: 1
073: 3
0730: 1
0734318316nbsp: 1
074: 1
075: 1
075g: 1
076: 6
077: 2
078: 2
079: 1
08: 18
080: 2
0800: 3
080411: 1
081: 3
082: 1
082051: 1
082932: 1
083: 3
084336: 1
085: 3
085000: 1
085058: 1
08540: 2
085400: 1
086: 1
087: 5
088: 4
08g: 1
09: 18
090: 2
090001: 2
090303: 1
0905: 1
090508: 1
090lengyelorszag: 1
091738: 1
091792: 2
092: 6
093: 3
093113: 1
093320: 1
093528: 1
094: 2
094325: 1
095: 3
0959381808: 1
097: 2
098: 5
099: 3
09968: 1
09977: 1
09oct96: 1
0degn20degn: 1
0degn20degn100dege130dege: 3
0fn: 1435
0s: 1766
0yr: 8
1: 4874
10: 1710
100: 629
1000: 52
10000: 25
100000: 10
1000000: 2
100005: 1
10001: 1
100011: 1
1000127: 1
100017: 1
100021: 1
10003: 1
100042: 1
1000464: 1
10005: 11
100057: 1
100060: 1
1000736: 1
100079: 1
100080: 1
1000803: 1
100094: 1
1000ik: 1
1000pm: 1
1001: 2
100100: 1
100101: 1
100103: 1
100104104199: 1
100108: 2
10011: 1
100118: 1
100120: 2
100133: 1
10014: 1
10015: 1
100150: 1
1001699: 1
1001781: 1
100181: 1
100191: 1
100192: 1
1002: 1
100207: 1
100211: 1
10022: 2
100228: 1
10025nbsp: 1
100260: 1
100263427: 1
100263427compuservecom: 3
100263427compuservecommailing: 1
100270: 1
100275647: 1
100276: 1
100280: 1
100281: 1
100282: 2
100287: 1
1002944: 1
1003: 2
100312: 1
100330: 1
100335: 1
10034: 1
10035: 1
100350: 1
100357: 1
1003623600magyarorszagmagyar: 1
100375: 1
100379: 1
100381: 1
100382: 3
100383: 1
100391: 1
100394: 1
100399: 1
1004: 1
1004045: 1
1004067: 1
100410: 1
100419: 1
100432: 2
1004473: 1
100458: 1
10046113: 1
10047: 1
100470812: 1
100475: 1
10049: 1
1004946: 1
100498: 1
100509: 1
1005211: 1
100532: 1
100535: 3
100536: 1
1005465: 1
10055: 1
100566: 2
100574: 1
100577: 1
100592: 1
1005957: 1
100596: 1
1005967: 1
100597: 1
100598: 1
1006: 2
10060: 1
1006067: 1
1006123: 1
100634: 1
100640: 1
100641: 1
100648: 1
1006542: 1
100669: 1
100682: 1
100683: 1
100687: 1
100688: 1
100698: 1
1007: 1
100706: 1
10072: 3
100723: 1
100724: 1
1007279: 1
100730: 1
100731: 1
100734: 1
100735: 1
100758: 1
100760: 1
1007652: 1
100772: 1
1007892: 1
100795: 1
100800: 1
10081: 1
100813: 1
100819: 1
100843: 1
100845: 1
100852: 1
100860: 1
100871: 2
100892: 1
1009: 1
100915: 1
1009173: 1
100925: 1
10094: 1
1009433: 1
100944: 1
100949: 1
1009503: 1
100953: 1
1009590: 1
10097: 1
100971: 1
1009765: 1
100987: 1
100990: 2
100997: 1
100a: 1
100ban: 1
100bol: 1
100mg: 1
100million: 1
100millioval: 1
100nbsp: 1
100os: 1
100page: 1
100s: 2
100szazalekos: 1
100th: 1
101: 75
1010: 2
10100: 4
1010145: 1
101015: 1
1010238204: 1
1010304: 1
101041: 1
101052: 1
1010784: 1
101084: 1
101094: 1
1011: 2
101102: 2
1011109: 1
101124: 1
1011240: 1
101126: 1
101134: 1
1011439: 1
101145: 1
101151: 1
101158: 1
1011650: 1
101178: 1
101179: 2
101184: 1
101192: 1
1011pm: 1
1012: 4
1012030: 1
1012036: 1
101218: 1
10122: 1
101221447: 1
101226: 1
1012301: 1
101232777: 1
101236: 1
101243: 1
1012434: 1
1012445: 1
101254: 1
1012602: 1
101272: 1
10128: 1
1012803: 1
1013: 2
101309: 1
101320: 1
1013261: 1
101332: 1
101336: 1
101347: 1
10136: 14
101364: 2
101367: 1
101369: 2
101371: 1
101377: 1
1013790: 1
101390: 1
101395: 1
1014: 7
101401: 1
101402: 1
101403: 1
101412: 1
101419: 1
10143: 5
1014310: 1
101438: 1
101453: 1
1014563: 1
101460: 1
101461: 1
101474: 1
101475: 1
101477: 1
101490: 1
10149028: 1
1015: 6
101523: 1
101530: 1
101534: 1
101535: 1
101540: 1
10155: 1
1015510: 1
101555: 1
10156: 3
101563: 1
101564: 1
101577: 1
1015779: 1
1015781: 1
101581: 2
101582: 1
1015842: 1
10159: 2
101592: 1
1015evet: 1
1016: 2
101601: 1
10161: 8
101610: 1
101624: 1
10163: 1
101631: 1
101632: 1
1016339: 1
1016369: 1
101637: 1
101647: 1
10165: 1
101650: 1
1016673: 1
1016766: 1
1016827: 1
1016868: 1
1016917: 1
1017064: 1
101707: 1
101709: 1
10171: 1
101717: 1
10172: 1
101721: 1
101723: 1
101724: 1
101726: 1
101739: 1
10174: 1
101750: 1
101753: 2
101759: 1
10176: 1
101774: 1
10178017: 1
101786: 3
10179: 1
101809: 1
101813: 1
1018272: 1
101831: 1
101839: 1
10184: 1
101859: 1
10186: 12
1018621: 1
101875: 6
101878: 1
1018805: 1
1019: 2
10190: 1
101904: 1
1019140: 1
1019162: 1
101935: 1
101972: 1
1019751: 1
101976: 1
101978: 1
101981: 1
101991: 2
101995: 1
1019992: 1
101a: 1
102: 61
10201: 2
102019: 1
102026: 1
102028: 1
1020335: 1
102037: 1
1020431: 1
102044: 2
1020559: 1
1020679: 1
102090: 1
1021: 1
102102: 1
102116: 1
102130: 2
1021331: 1
102136: 1
10214: 1
102149: 1
102178: 1
1021833: 1
102190: 1
1022: 1
102201: 1
102216: 1
1022349164: 1
102237: 1
1022383: 1
10226: 1
1022630: 1
10227: 1
102274: 1
102278: 1
102284: 1
102296: 2
1023: 1
10230: 1
1023124147: 1
1023263: 1
102331: 1
10234: 2
1023453: 1
102350: 1
10236: 1
102362: 1
102363: 1
102373: 1
102384: 1
102388: 1
102393: 1
102394: 2
1023am: 1
1024: 1
102400: 1
102401: 1
102407: 1
102411: 1
102416: 1
102436: 1
102440: 1
102449: 1
1024604: 1
102471: 2
102475: 2
102532: 1
1025436: 1
1025469: 1
102549: 1
102556: 1
10256: 1
102562: 5
102570: 1
10258: 1
102588: 1
102593: 1
1025dege1175dege: 1
1026: 2
1026034: 1
102611: 1
102617: 1
102625: 1
102636: 1
102654: 1
102657: 1
102665: 1
102670: 1
10268: 1
102687: 1
102690: 1
10270: 4
102701: 1
102709: 1
