Token: Weight
----------------
14fn: 0.0004478527
thoreaus: 0.0057266937
portray: 0.0023558203
particular: 0.0004785850
religion: 0.0003190567
time: 0.0002528465
compared: 0.0005299417
barn: 0.0050867484
faulkner: 0.0111869955
psychology: 0.0006381134
babylon: 0.0012716871
absalom: 0.0012716871
role: 0.0012762268
fn=footnotes: 0.0003190567
billy: 0.0043805311
distinction: 0.0007585394
essential: 0.0006073811
voltaire: 0.0011112400
stressing: 0.0007006991
locust: 0.0012716871
repressive: 0.0010598834
respectively: 0.0006894701
worship: 0.0010169995
european: 0.0009571701
discuss: 0.0006894701
salient: 0.0011112400
ministers: 0.0008047238
10fn: 0.0020618739
dynamic: 0.0009003550
communications: 0.0002528465
comparing: 0.0008182661
dependent: 0.0007903348
sawyer: 0.0035044251
john: 0.0025284644
18fn: 0.0020227716
times: 0.0003704134
noting: 0.0015170787
conversation: 0.0020339990
lived: 0.0007903348
tragic: 0.0008182661
marriages: 0.0020339990
tone: 0.0018007100
meaning: 0.0006073811
burning: 0.0042395336
voltaires: 0.0011779101
including: 0.0004785851
copy1996: 0.0003190567
zen: 0.0011112400
irrational: 0.0011112400
analyses: 0.0008047238
novels: 0.0018007100
greed: 0.0011779101
basis: 0.0005056929
dylan: 0.0011779101
settings: 0.0008761063
abstractions: 0.0012716871
architecture: 0.0003190567
aristotle: 0.0010169995
grapes: 0.0055562002
updated: 0.0002528465
description: 0.0003190567
dramatizing: 0.0012716871
definitive: 0.0012716871
melvilles: 0.0050867484
code: 0.0011037549
criticism: 0.0014816534
particularly: 0.0013435581
factors: 0.0004785850
14pgs: 0.0004785850
economics: 0.0003190567
talks: 0.0007006991
day: 0.0003704134
biblical: 0.0010598834
religious: 0.0011806501
hope: 0.0006381134
evidence: 0.0005518774
education: 0.0002528465
analysis: 0.0030341574
business: 0.0005056929
twin: 0.0012716871
author: 0.0011806501
chapter: 0.0006381134
perfection: 0.0010169995
tale: 0.0009498631
rational: 0.0009498631
classic: 0.0016094476
music: 0.0003190567
law: 0.0001595284
lay: 0.0017522125
