Token: Weight
----------------
$=price: 0.0031194820
supreme: 0.0195120070
94yr: 0.0049442616
rights: 0.0049442616
court: 0.0131362379
7pgs: 0.0036216062
religion: 0.0031194820
time: 0.0049442616
womens: 0.0031194820
pgs=pages: 0.0031194820
nature: 0.0040318719
button: 0.0031194820
psychology: 0.0031194820
report: 0.0024721308
3pgs: 0.0053958171
essay: 0.0031194820
fn=footnotes: 0.0031194820
central: 0.0040318719
black: 0.0024721308
nbsp: 0.0031194820
interpreted: 0.0088029532
notion: 0.0085658683
catalog: 0.0031194820
art: 0.0024721308
a1termpaper: 0.0031194820
career: 0.0057717268
$2685: 0.0053958171
papers: 0.0031194820
establishing: 0.0081854071
0s: 0.0108648185
highlighting: 0.0099434098
copyright: 0.0015597410
termpapers: 0.0031194820
observes: 0.0036216062
$9845: 0.0040318719
decisions: 0.0057717268
start: 0.0024721308
experienced: 0.0031194820
asm: 0.0031194820
examination: 0.0036216062
communications: 0.0024721308
subject: 0.0024721308
vehicle: 0.0063753831
click: 0.0062389639
1914: 0.0108648185
differences: 0.0049442616
1789: 0.0115166660
critical: 0.0031194820
title: 0.0049442616
personal: 0.0031194820
$6265: 0.0036216062
1930s: 0.0099434098
words: 0.0065040025
american: 0.0024721308
written: 0.0024721308
commentsa1termpapercom: 0.0031194820
enforced: 0.0099434098
affecting: 0.0067410883
trial: 0.0062389639
2fn: 0.0049442616
defining: 0.0077272626
1800termpaper: 0.0031194820
79yr: 0.0144864246
theme: 0.0031194820
88yr: 0.0040318719
$8950: 0.0072432123
reserved: 0.0024721308
history: 0.0074163927
copy1996: 0.0031194820
16s: 0.0055916123
yr=year: 0.0031194820
0fn: 0.0072432123
comments: 0.0024721308
based: 0.0031194820
linguistics: 0.0031194820
afn: 0.0036216062
send: 0.0024721308
aristotles: 0.0103626940
anthropology: 0.0031194820
equity: 0.0095920125
individual: 0.0040318719
sports: 0.0031194820
study: 0.0024721308
architecture: 0.0031194820
recreation: 0.0031194820
studies: 0.0074163927
policies: 0.0043787463
science: 0.0049442616
mass: 0.0024721308
unrealistic: 0.0103626940
provisions: 0.0073314682
deal: 0.0051813470
updated: 0.0024721308
understood: 0.0081854071
description: 0.0031194820
122196: 0.0031194820
medicine: 0.0031194820
shakespeare: 0.0031194820
protection: 0.0046792226
index: 0.0024721308
philosophy: 0.0031194820
literature: 0.0031194820
mcreynolds: 0.0248670839
20fn: 0.0103626940
comparison: 0.0080637438
nation: 0.0066256663
thesis: 0.0031194820
james: 0.0059384871
contemporary: 0.0051813470
determining: 0.0068508768
late: 0.0055916123
economics: 0.0031194820
dreyfus: 0.0124335419
11pgs: 0.0040318719
roman: 0.0130080050
media: 0.0024721308
9pgs: 0.0036216062
constitution: 0.0066256663
$8055: 0.0036216062
enforcement: 0.0068508768
justice: 0.0103626940
specific: 0.0049442616
paper: 0.0123606548
sociology: 0.0031194820
intentions: 0.0085658683
analysis: 0.0074163927
education: 0.0024721308
fdr: 0.0115166660
business: 0.0024721308
4s: 0.0036216062
ecology: 0.0031194820
various: 0.0031194820
termpaper: 0.0031194820
healthcare: 0.0031194820
law: 0.0109181870
film: 0.0031194820
music: 0.0031194820
saccovanzetti: 0.0115166660
2s: 0.0046792226
political: 0.0024721308
10pgs: 0.0072432123
equal: 0.0067410883
freedoms: 0.0185740069
urban: 0.0031194820
1880: 0.0124335419
s=sources: 0.0031194820
term: 0.0049442616
book: 0.0024721308
preambles: 0.0279955212
inequality: 0.0103626940
changes: 0.0040318719
