Token: Weight
----------------
forecasts: 0.0032882032
seasonal: 0.0030912303
external: 0.0025423870
uncertainties: 0.0042622979
developed: 0.0016949245
conducted: 0.0022713209
temperature: 0.0031836443
feedback: 0.0026489552
time: 0.0016949245
principal: 0.0075398227
nature: 0.0013821515
potter: 0.0039479868
comprehensive: 0.0036994412
contribution: 0.0023844098
role: 0.0010693783
systematic: 0.0088093039
elements: 0.0018497206
essential: 0.0020357515
observational: 0.0170491915
international: 0.0010693783
effects: 0.0013821515
wide: 0.0019168406
intervals: 0.0042622979
345: 0.0032882032
colleagues: 0.0029364345
coordinating: 0.0035523979
conditions: 0.0032081350
models: 0.0271566380
project: 0.0147977648
observed: 0.0027425722
system: 0.0016949245
european: 0.0016040675
independently: 0.0031836443
30: 0.0010693783
disagreements: 0.0039479868
quality: 0.0018497206
components: 0.0023108881
amip: 0.0595924705
1989: 0.0023108881
examples: 0.0019785850
consisting: 0.0032882032
computer: 0.0036994412
complex: 0.0018497206
monsoon: 0.0042622979
common: 0.0032081350
archives: 0.0030912303
data: 0.0148981186
reveals: 0.0026489552
ocean: 0.0056120199
spanning: 0.0042622979
parameterization: 0.0039479868
modelmodel: 0.0042622979
1995: 0.0012415098
1996: 0.0008474623
20: 0.0010693783
designed: 0.0015010622
archived: 0.0042622979
significant: 0.0035523979
current: 0.0021387567
emphasis: 0.0017761990
accounted: 0.0037245294
ability: 0.0033898491
initiative: 0.0026489552
lawrence: 0.0053943656
solar: 0.0028646251
history: 0.0008474623
standards: 0.0035523979
ensemble: 0.0042622979
including: 0.0005346892
overview: 0.0030021244
modeling: 0.0382037312
background: 0.0017761990
documentation: 0.0088093039
analyses: 0.0026971828
testing: 0.0048373993
atmospheric: 0.0150885424
infrastructure: 0.0164554343
world: 0.0016949245
behalf: 0.0025975099
methods: 0.0013821515
intercomparisons: 0.0042622979
provide: 0.0027643030
basis: 0.0016949245
centre: 0.0028060100
communicating: 0.0034086646
greenhouse: 0.0032882032
change: 0.0055286060
tool: 0.0021387567
poorly: 0.0037245294
radiative: 0.0039479868
pcmdi: 0.0781527534
software: 0.0138653293
phenomena: 0.0026489552
values: 0.0018497206
personnel: 0.0019785850
component: 0.0025975099
understood: 0.0028060100
future: 0.0024830196
priority: 0.0025975099
conference: 0.0019168406
climate: 0.0508937836
processes: 0.0021387567
control: 0.0010693783
intercomparison: 0.0426287763
association: 0.0016040675
sensitivity: 0.0037245294
jerry: 0.0039479868
effort: 0.0042775134
providing: 0.0016949245
period: 0.0015010622
preliminary: 0.0032882032
subprojects: 0.0143955667
detection: 0.0068173292
efforts: 0.0016040675
innovative: 0.0025975099
natural: 0.0033898491
phase: 0.0026489552
simulated: 0.0060354173
update: 0.0025423870
result: 0.0015010622
simulate: 0.0065764063
model: 0.0237289444
measure: 0.0022713209
landsurface: 0.0042622979
set: 0.0012415098
scientists: 0.0164554343
analysis: 0.0050847740
livermore: 0.0035523979
interannual: 0.0085245958
observations: 0.0076271612
fidelity: 0.0039479868
especially: 0.0013821515
exploratory: 0.0039479868
performance: 0.0018497206
ice: 0.0028646251
synoptic: 0.0039479868
outstanding: 0.0028646251
llnl: 0.0068173292
gcm: 0.0039479868
community: 0.0012415098
provides: 0.0013821515
laboratory: 0.0052979104
sea: 0.0019168406
variety: 0.0016949245
examining: 0.0024186997
supporting: 0.0066888412
mission: 0.0043710442
regional: 0.0040715029
directed: 0.0025132743
temporal: 0.0039479868
coupled: 0.0088093039
provided: 0.0018497206
numerical: 0.0098646097
increasingly: 0.0023485245
pcmdis: 0.0095970444
shift: 0.0027425722
specifically: 0.0018497206
nonlinear: 0.0037245294
variability: 0.0106571941
diagnosis: 0.0161830969
carried: 0.0025132743
prototype: 0.0031836443
center: 0.0013821515
visualization: 0.0085245958
simulating: 0.0039479868
improved: 0.0024186997
errors: 0.0028060100
initial: 0.0023485245
carbon: 0.0030912303
weather: 0.0024186997
simulations: 0.0080915485
activities: 0.0013821515
collaborating: 0.0085245958
standardized: 0.0034086646
central: 0.0013821515
exchange: 0.0019168406
ecmwf: 0.0074490588
diagnostic: 0.0120708346
information: 0.0005346892
element: 0.0025975099
forcing: 0.0035523979
support: 0.0032081353
longerterm: 0.0042622979
national: 0.0025423870
identify: 0.0025132743
atmosphere: 0.0025975099
questions: 0.0027643030
modeldata: 0.0042622979
monthly: 0.0025975099
distribution: 0.0019785850
goal: 0.0022713209
